X_1,X_2,y
6817.918832,7863.577802,0
6879.366685,3902.645182,1
893.2107495,6137.572423,1
9028.687126,7442.65682,0
3862.228562,746.7526023,0
7541.777834,694.4487047,1
1582.087458,7464.842612,1
578.8935781,7181.442909,0
5617.286648,4283.079085,1
2964.964346,3664.213282,0
5652.06279,2373.409655,1
9045.894507,7833.320357,0
3482.119599,7260.324433,1
6959.639474,1653.025266,1
8662.63832,673.247301,1
7913.820175,186.4539023,1
2915.446415,8030.333921,1
1837.768594,8484.321664,1
7631.767639,6859.748561,0
1404.5157,1779.358969,0
6126.167193,860.0686695,1
4160.403955,1898.098401,0
1895.561858,9371.681134,1
8640.228538,7504.552567,0
3224.371103,3048.38735,0
2412.205689,7879.209842,1
9348.227093,9430.055782,0
786.0159019,963.9448388,0
1063.296176,7034.016372,1
4137.526049,5570.002985,1
7601.836562,6887.167942,0
2998.041112,6098.533539,1
6718.633294,5586.197882,0
394.4058679,3769.103577,0
1478.038906,4131.432087,0
4395.185677,9056.636582,1
6350.049369,3480.185083,1
1803.958248,734.6994341,0
2201.410932,1524.662032,0
8596.63119,5605.888623,0
1847.44572,2522.1363,0
7197.117279,7969.413297,0
7270.325912,4207.194291,1
2740.816725,5950.921117,1
7380.224794,3761.789328,1
7743.966549,7288.327604,0
7712.402458,9576.630201,0
5755.35667,4195.815565,1
7540.311891,2410.746411,1
9800.493432,138.3669456,1
3019.377132,2975.369685,0
7629.239961,7255.484695,0
687.0079555,4230.618312,0
6940.868414,883.1714467,1
9604.005395,9310.481775,0
7490.751568,1357.01892,1
1080.974723,8513.150021,1
6470.685297,9038.233618,1
3473.359607,11.39637973,0
1839.106988,9877.095439,1
3753.157784,4437.527261,0
7047.78754,8623.263766,0
9349.786753,2735.089965,1
6169.148146,8273.550307,0
713.2162194,258.8650399,0
2875.83099,5547.8136,1
3190.471478,5836.466747,1
9051.473632,2004.851762,1
2537.568274,9250.014208,1
2419.274638,3512.469229,0
7362.11738,7757.909814,0
5969.452263,29.27938791,1
1278.497328,1484.480587,0
2850.36294,8840.911749,1
8915.835031,6831.89673,0
4179.855097,3321.972872,0
1857.590566,7233.536625,1
9356.767585,6508.751715,0
8334.821442,6272.153908,0
3911.007462,6278.039874,1
932.2946738,3867.065835,0
5947.020424,2822.138525,1
